CÓDIGO DO,Unnamed: 0,Unnamed: 1,CST,Unnamed: 2,Unnamed: 3,Unnamed: 4,VALOR,VALOR.1,DESCONTO,BASE,VALOR.2,VALOR.3,ALÍQUOTAS
22190610001,LENTE PISCA FAZER YBR FACTOR,85122029,60.0,5405,PC,"5,0000","5,2526","26,26","0,79","0,00","0,00","0,00","0,00 0,00"
,LANDER ( CRISTAL ),,,,,,,,,,,,
22003920004,LENTE PISCA NXR BROS TORNADO POP (,85122029,60.0,5405,PC,"5,0000","1,6508","8,25","0,25","0,00","0,00","0,00","0,00 0,00"
,AMBAR ),,,,,,,,,,,,
22013090004,LENTE PISCA TITAN 2000 TWISTER CB300 (,85122029,60.0,5405,PC,"5,0000","3,8769","19,38","0,58","0,00","0,00","0,00","0,00 0,00"
,AMBAR ),,,,,,,,,,,,
22015260004,LENTE PISCA TITAN 2000 TWISTER CB300 (,85122029,60.0,5405,PC,"5,0000","2,7194","13,60","0,41","0,00","0,00","0,00","0,00 0,00"
,FUME PISCA,,,,,,,,,,,,
22075180007,LENTE PISCA YBR FACTOR FAZER,85122029,60.0,5405,PC,"5,0000","5,3777","26,89","0,81","0,00","0,00","0,00","0,00 0,00"
,LANDER ( AMBAR ),,,,,,,,,,,,
22009040006,MANETE FREIO TITAN 150 160 FAN 125,87141000,60.0,5405,PC,"2,0000","8,5723","17,14","0,51","0,00","0,00","0,00","0,00 0,00"
22072050005,MANICOTO EMBREAGEM YBR DT DTN RD,87141000,60.0,5405,PC,"1,0000","12,7564","12,76","0,38","0,00","0,00","0,00","0,00 0,00"
22072030004,MANICOTO FREIO YBR DT DTN RD,87141000,60.0,5405,PC,"1,0000","12,7564","12,76","0,38","0,00","0,00","0,00","0,00 0,00"
,FACTOR,,,,,,,,,,,,
22014090008,PARAFUSO REGULAR AR TITAN CG ML,84099113,260.0,5405,PC,"2,0000","4,5023","9,00","0,27","0,00","0,00","0,00","0,00 0,00"
,TURUNA,,,,,,,,,,,,
22062520009,PASTILHA SHINERAY JET,87141000,260.0,5405,JG,"2,0000","13,8819","27,76","0,83","0,00","0,00","0,00","0,00 0,00"
22060650002,PEDAL FREIO SHINERAY PHOENIX (,87141000,60.0,5405,PC,"1,0000","54,6273","54,63","1,64","0,00","0,00","0,00","0,00 0,00"
,PRETO ),,,,,,,,,,,,
22062570006,PRISIONEIRO COROA SHINERAY XY 50,87141000,260.0,5405,JG,"2,0000","14,9825","29,97","0,90","0,00","0,00","0,00","0,00 0,00"
22030810001,PRISIONEIRO COROA SUZUKI YES,87141000,60.0,5405,JG,"2,0000","11,3807","22,76","0,68","0,00","0,00","0,00","0,00 0,00"
,INTRUDER KATANA,,,,,,,,,,,,
22073460002,PRISIONEIRO COROA YBR RX RD RDZ,73181500,60.0,5405,JG,"2,0000","12,5063","25,01","0,75","0,00","0,00","0,00","0,00 0,00"
,CRYPTON,,,,,,,,,,,,
